id,date,company,department,so,contract_number,currency
1,2023-03-04,Societe Generale,Finances,37,KW6435409381485566453097916638,-24069.65€
2,2023-06-04,Societe Generale,Asset Management,11,AZ93454415026437734626736853,96054.19€
3,2023-02-12,Societe Generale,Tech Support,43,IL342601674778341712022,-0.22€
4,2023-02-02,Societe Generale,Public Relations,29,SA3818459643885755371660,97224.29€
5,2023-11-23,Societe Generale,Research and Development,41,MK14610286223417581,54216.84€
6,2023-11-27,Societe Generale,Customer Service,31,MD4275166344405723694720,72118.90€
7,2023-08-13,Societe Generale,Accounting,13,IE97TUYY13344726734514,-28428.67€
8,2023-01-12,Societe Generale,Quality Assurance,17,LU086562604366677726,-79353.53€
9,2023-05-26,Societe Generale,Sales and Marketing,13,ME66815134586668857761,-20434.07€
10,2022-12-26,Societe Generale,Finances,17,TN1461651314131960264362,73602.88€
11,2022-10-19,Societe Generale,Media Relations,11,MT56MUQL72838584186788708842263,56821.86€
12,2022-10-19,Societe Generale,Media Relations,11,MT56MUQL12312312386788708842263,131192.67€
13,2023-07-30,Societe Generale,Human Resources,43,SK8324575348682816196381,21009.63€
14,2023-11-26,Societe Generale,Customer Relations,13,MT84UUEG41463645478952413588507,50211.42€
15,2023-02-03,Societe Generale,Public Relations,13,SK2622124753474763251238,-95898.64€
16,2023-03-10,Societe Generale,Research and Development,23,AD5815551525177987378757,-48925.13€
17,2023-12-30,Societe Generale,Customer Relations,41,SM8684214467590433264657822,-97578.33€
18,2023-06-08,Societe Generale,Quality Assurance,37,FR5937731332720975855765824,-33329.60€
19,2022-10-02,Societe Generale,Asset Management,13,LB03318291415231039716134216,92920.63€
20,2023-06-26,Societe Generale,Accounting,13,TR983537375507338527994422,-42729.12€
21,2023-11-02,Societe Generale,Media Relations,19,GE06210243906853502739,47027.02€
22,2023-11-02,Societe Generale,Accounting,19,GE06024390681235802739,-160701.21€
23,2023-08-18,Societe Generale,Customer Service,11,RS86918818626006622151,-78233.84€
24,2022-10-15,Societe Generale,Legal Department,17,PT88371631666636982635472,-44308.12€
25,2022-10-15,Societe Generale,Legal Department,17,DW88371631666636982635472,102439.33€
26,2022-10-19,Societe Generale,Legal Department,29,NL07SXVI3667175674,91386.10€
27,2023-01-19,Societe Generale,Quality Assurance,19,PL97216611287314106322188547,41656.02€
28,2023-03-02,Societe Generale,Customer Relations,31,LI0783089654151552623,28306.46€
29,2023-12-15,Societe Generale,Customer Service,17,IS588146153144636516224055,-52625.89€
30,2023-06-01,Societe Generale,Accounting,47,MR6565110679860243678528752,-3743.91€
31,2022-11-26,Societe Generale,Asset Management,19,TR414689723399437747074850,72642.60€
32,2022-10-04,Societe Generale,Advertising,37,MD3005687417625647150954,56574.26€
33,2023-07-01,Societe Generale,Customer Relations,11,MD8768169382556091147648,98231.10€
34,2023-05-17,Societe Generale,Tech Support,11,KZ817811230747318493,90841.10€
35,2023-10-10,Societe Generale,Human Resources,13,CH2395381667435543886,13197.17€
36,2023-08-10,Societe Generale,Tech Support,31,IL785885447582604964012,-45832.49€
37,2022-12-13,Societe Generale,Accounting,37,RO34HQAK7772256248816213,-31691.94€
38,2023-02-14,Societe Generale,Research and Development,23,FO6444273994214064,-98038.62€
39,2023-02-13,Societe Generale,Tech Support,23,PK2815651208851594331011,50927.63€
40,2022-10-29,Societe Generale,Customer Relations,19,LB41244265141252676345838532,-42446.34€
41,2023-12-19,Societe Generale,Accounting,19,MR6910799273557981738308771,-4617.57€
42,2023-01-26,Societe Generale,Finances,19,HR4332324601627943591,-71673.70€
43,2024-01-03,Societe Generale,Legal Department,17,GT14622049849338519653822168,-92926.30€
44,2023-01-03,Societe Generale,Customer Service,37,RO70DBEJ3824733016946779,44038.55€
45,2022-12-20,Societe Generale,Advertising,47,LI6265433192551568766,-70575.13€
46,2023-08-23,Societe Generale,Media Relations,13,IT866QQYLI92131574136218632,-48893.05€
47,2023-11-24,Societe Generale,Sales and Marketing,43,GT97653553245971616241411321,-78454.36€
48,2022-10-29,Societe Generale,Research and Development,23,MU8523639233756633523402632654,-93964.66€
49,2023-04-09,Societe Generale,Media Relations,17,BA624826781041998222,13317.34€
50,2023-12-30,Societe Generale,Tech Support,23,LT111493072995654861,22000.74€
51,2022-12-17,Societe Generale,Customer Service,17,MT41VCCD45343175273879757821953,-12499.11€
52,2023-06-12,Societe Generale,Finances,41,LT883960878553979382,-91099.26€
53,2024-01-12,Societe Generale,Asset Management,11,HR9575700130758048205,98643.96€
54,2023-08-09,Societe Generale,Human Resources,31,IL252230280863323414823,98696.85€
55,2023-09-19,Societe Generale,Customer Relations,47,MU6373531697504386136285867386,49243.16€
56,2022-10-06,Societe Generale,Finances,29,GL2162316825044961,5774.56€
57,2024-01-02,Societe Generale,Sales and Marketing,31,AT592347855772884157,-46787.70€
58,2023-12-29,Societe Generale,Human Resources,43,VG5412605773464264807741,-98298.82€
59,2024-01-27,Societe Generale,Finances,47,CH6629150339652988658,6821.60€
60,2022-11-27,Societe Generale,Finances,43,LU272140811000732451,-12766.36€
61,2023-12-13,Societe Generale,Payroll,41,IS157418636566688972227177,-12391.98€
62,2022-10-18,Societe Generale,Advertising,29,DO46534253508628687326463345,-44398.16€
63,2023-06-10,Societe Generale,Customer Relations,23,HR9411312988270438142,-79857.65€
64,2023-12-17,Societe Generale,Payroll,29,RS86229116328923597775,92134.68€
65,2023-03-15,Societe Generale,Public Relations,13,BH60448537620128830866,16542.14€
66,2023-10-22,Societe Generale,Customer Relations,17,BG07QYMS25674029623155,-4316.95€
